14, 204,0
19, 204,0
24, 204,282
29, 204,0
34, 204,0
39, 204,0
14, 255,0
19, 255,90
24, 255,204
29, 255,0
34, 255,0
39, 255,0
14, 306,0
19, 306,102
24, 306,291
29, 306,0
34, 306,0
39, 306,0
14, 357,0
19, 357,186
24, 357,240
29, 357,0
34, 357,0
39, 357,0
14, 408,66
19, 408,123
24, 408,141
29, 408,0
34, 408,0
39, 408,0
14, 459,12
19, 459,213
24, 459,69
29, 459,0
34, 459,0
39, 459,0
14, 510,66
19, 510,129
24, 510,0
29, 510,0
34, 510,0
39, 510,0
14, 561,0
19, 561,42
24, 561,60
29, 561,0
34, 561,0
39, 561,0
14, 612,0
19, 612,45
24, 612,201
29, 612,0
34, 612,0
39, 612,0
14, 663,0
19, 663,66
24, 663,54
29, 663,0
34, 663,0
39, 663,0
14, 714,0
19, 714,0
24, 714,186
29, 714,0
34, 714,0
39, 714,0
14, 765,0
19, 765,183
24, 765,0
29, 765,0
34, 765,0
39, 765,0
14, 816,0
19, 816,129
24, 816,147
29, 816,0
34, 816,0
39, 816,0
14, 867,0
19, 867,210
24, 867,0
29, 867,0
34, 867,0
39, 867,0
14, 918,0
19, 918,225
24, 918,0
29, 918,0
34, 918,0
39, 918,0
14, 969,0
19, 969,93
24, 969,0
29, 969,0
34, 969,0
39, 969,0
14, 204,0
19, 204,0
24, 204,396
29, 204,0
34, 204,0
39, 204,0
14, 255,0
19, 255,159
24, 255,255
29, 255,0
34, 255,0
39, 255,0
14, 306,0
19, 306,87
24, 306,237
29, 306,0
34, 306,0
39, 306,0
14, 357,0
19, 357,117
24, 357,228
29, 357,0
34, 357,0
39, 357,0
14, 408,66
19, 408,192
24, 408,168
29, 408,0
34, 408,0
39, 408,0
14, 459,0
19, 459,195
24, 459,27
29, 459,0
34, 459,0
39, 459,0
14, 510,57
19, 510,42
24, 510,27
29, 510,0
34, 510,0
39, 510,0
14, 561,0
19, 561,168
24, 561,0
29, 561,0
34, 561,0
39, 561,0
14, 612,0
19, 612,69
24, 612,141
29, 612,0
34, 612,0
39, 612,0
14, 663,0
19, 663,63
24, 663,219
29, 663,0
34, 663,0
39, 663,0
14, 714,0
19, 714,0
24, 714,219
29, 714,0
34, 714,0
39, 714,0
14, 765,0
19, 765,183
24, 765,0
29, 765,0
34, 765,0
39, 765,0
14, 816,0
19, 816,165
24, 816,165
29, 816,0
34, 816,0
39, 816,0
14, 867,0
19, 867,186
24, 867,12
29, 867,0
34, 867,0
39, 867,0
14, 918,0
19, 918,246
24, 918,0
29, 918,0
34, 918,0
39, 918,0
14, 969,0
19, 969,93
24, 969,0
29, 969,0
34, 969,0
39, 969,0
